name,label
"United Rentals, Inc.","{""Management_Of_Legal_And_Regulatory_Framework"": 82, ""Business_Ethics"": 12, ""Product_Design_And_Lifecycle_Management"": 27, ""Supply_Chain_Management"": 8, ""Product_Quality_And_Safety"": 9, ""Critical_Incident_Risk_Management"": 1, ""Employee_Health_And_Safety"": 3, ""Competitive_Behavior"": 24, ""Employee_Engagement_Inclusion_And_Diversity"": 2, ""Systemic_Risk_Management"": 21, ""Labor_Practices"": 4, ""Business_Model_Resilience"": 5, ""Customer_Privacy"": 2, ""Data_Security"": 1, ""Waste_And_Hazardous_Materials_Management"": 2, ""Director_Removal"": 6}"
Eli Lilly & Co.,"{""Management_Of_Legal_And_Regulatory_Framework"": 142, ""Director_Removal"": 26, ""Systemic_Risk_Management"": 88, ""Business_Model_Resilience"": 16, ""Data_Security"": 35, ""Energy_Management"": 6, ""Product_Design_And_Lifecycle_Management"": 40, ""Competitive_Behavior"": 55, ""Air_Quality"": 1, ""Critical_Incident_Risk_Management"": 2, ""Employee_Engagement_Inclusion_And_Diversity"": 4, ""Product_Quality_And_Safety"": 3, ""Business_Ethics"": 32, ""Customer_Privacy"": 3, ""Supply_Chain_Management"": 6, ""Physical_Impacts_Of_Climate_Change"": 2, ""Labor_Practices"": 16, ""Customer_Welfare"": 1, ""Access_And_Affordability"": 1}"
Aptiv Plc,"{""Management_Of_Legal_And_Regulatory_Framework"": 205, ""Systemic_Risk_Management"": 67, ""Product_Design_And_Lifecycle_Management"": 65, ""Customer_Welfare"": 55, ""Ecological_Impacts"": 5, ""Access_And_Affordability"": 38, ""Business_Ethics"": 42, ""Competitive_Behavior"": 110, ""GHG_Emissions"": 1, ""Product_Quality_And_Safety"": 35, ""Employee_Engagement_Inclusion_And_Diversity"": 9, ""Employee_Health_And_Safety"": 4, ""Business_Model_Resilience"": 9, ""Data_Security"": 23, ""Customer_Privacy"": 15, ""Selling_Practices_And_Product_Labeling"": 5, ""Waste_And_Hazardous_Materials_Management"": 5, ""Supply_Chain_Management"": 4, ""Labor_Practices"": 3, ""Critical_Incident_Risk_Management"": 2, ""Director_Removal"": 10, ""Energy_Management"": 3}"
Dte Energy Company,"{""Business_Model_Resilience"": 44, ""Product_Design_And_Lifecycle_Management"": 57, ""Energy_Management"": 12, ""Supply_Chain_Management"": 23, ""Systemic_Risk_Management"": 93, ""Physical_Impacts_Of_Climate_Change"": 17, ""Human_Rights_And_Community_Relations"": 1, ""Competitive_Behavior"": 27, ""Management_Of_Legal_And_Regulatory_Framework"": 95, ""Employee_Engagement_Inclusion_And_Diversity"": 12, ""Waste_And_Hazardous_Materials_Management"": 5, ""GHG_Emissions"": 6, ""Business_Ethics"": 31, ""Data_Security"": 1, ""Labor_Practices"": 22, ""Director_Removal"": 25, ""Customer_Privacy"": 1, ""Employee_Health_And_Safety"": 3, ""Water_And_Wastewater_Management"": 2, ""Ecological_Impacts"": 3, ""Air_Quality"": 2}"
"Home Depot, Inc.","{""Management_Of_Legal_And_Regulatory_Framework"": 203, ""Systemic_Risk_Management"": 66, ""Data_Security"": 12, ""Business_Model_Resilience"": 10, ""Access_And_Affordability"": 46, ""Competitive_Behavior"": 26, ""Customer_Welfare"": 5, ""Employee_Health_And_Safety"": 8, ""Labor_Practices"": 25, ""Employee_Engagement_Inclusion_And_Diversity"": 5, ""Business_Ethics"": 25, ""Customer_Privacy"": 4, ""Waste_And_Hazardous_Materials_Management"": 1, ""Physical_Impacts_Of_Climate_Change"": 3, ""Critical_Incident_Risk_Management"": 8, ""Director_Removal"": 4, ""Supply_Chain_Management"": 1, ""Energy_Management"": 2}"
Adobe Inc.,"{""Management_Of_Legal_And_Regulatory_Framework"": 137, ""Business_Model_Resilience"": 29, ""Product_Quality_And_Safety"": 1, ""Business_Ethics"": 19, ""Systemic_Risk_Management"": 54, ""Product_Design_And_Lifecycle_Management"": 66, ""Customer_Privacy"": 8, ""Competitive_Behavior"": 43, ""Energy_Management"": 4, ""Data_Security"": 24, ""Employee_Engagement_Inclusion_And_Diversity"": 14, ""Employee_Health_And_Safety"": 3, ""Access_And_Affordability"": 1, ""Selling_Practices_And_Product_Labeling"": 1, ""Supply_Chain_Management"": 2, ""Physical_Impacts_Of_Climate_Change"": 4, ""Labor_Practices"": 4, ""Director_Removal"": 2}"
D.R. Horton Inc.,"{""Director_Removal"": 25, ""Business_Model_Resilience"": 9, ""Management_Of_Legal_And_Regulatory_Framework"": 47, ""Supply_Chain_Management"": 3, ""Systemic_Risk_Management"": 28, ""Competitive_Behavior"": 18, ""Product_Design_And_Lifecycle_Management"": 5, ""Data_Security"": 1, ""Labor_Practices"": 7, ""Business_Ethics"": 12}"
Advanced Micro Devices,"{""Product_Design_And_Lifecycle_Management"": 121, ""Energy_Management"": 16, ""Business_Model_Resilience"": 13, ""Systemic_Risk_Management"": 96, ""Management_Of_Legal_And_Regulatory_Framework"": 178, ""Business_Ethics"": 31, ""Competitive_Behavior"": 53, ""Customer_Privacy"": 2, ""Data_Security"": 17, ""Waste_And_Hazardous_Materials_Management"": 5, ""Supply_Chain_Management"": 4, ""Employee_Engagement_Inclusion_And_Diversity"": 2, ""Physical_Impacts_Of_Climate_Change"": 1, ""Product_Quality_And_Safety"": 2, ""Critical_Incident_Risk_Management"": 1, ""Labor_Practices"": 3, ""Water_And_Wastewater_Management"": 2, ""Selling_Practices_And_Product_Labeling"": 1, ""Director_Removal"": 7}"
Aflac Inc.,"{""Management_Of_Legal_And_Regulatory_Framework"": 345, ""Systemic_Risk_Management"": 287, ""Data_Security"": 15, ""Physical_Impacts_Of_Climate_Change"": 4, ""Product_Design_And_Lifecycle_Management"": 15, ""Access_And_Affordability"": 7, ""Competitive_Behavior"": 54, ""Employee_Health_And_Safety"": 17, ""Product_Quality_And_Safety"": 2, ""Customer_Privacy"": 10, ""Employee_Engagement_Inclusion_And_Diversity"": 19, ""Labor_Practices"": 23, ""Business_Model_Resilience"": 10, ""Director_Removal"": 11, ""Business_Ethics"": 32, ""Supply_Chain_Management"": 1, ""Customer_Welfare"": 1, ""Human_Rights_And_Community_Relations"": 1, ""Critical_Incident_Risk_Management"": 1}"
Agilent Technologies Inc.,"{""Management_Of_Legal_And_Regulatory_Framework"": 181, ""Systemic_Risk_Management"": 82, ""Product_Design_And_Lifecycle_Management"": 66, ""Business_Model_Resilience"": 26, ""Customer_Welfare"": 19, ""Supply_Chain_Management"": 10, ""Competitive_Behavior"": 48, ""Waste_And_Hazardous_Materials_Management"": 3, ""Product_Quality_And_Safety"": 11, ""GHG_Emissions"": 2, ""Energy_Management"": 6, ""Ecological_Impacts"": 3, ""Customer_Privacy"": 4, ""Employee_Health_And_Safety"": 6, ""Employee_Engagement_Inclusion_And_Diversity"": 6, ""Business_Ethics"": 16, ""Selling_Practices_And_Product_Labeling"": 1, ""Data_Security"": 3, ""Physical_Impacts_Of_Climate_Change"": 2, ""Labor_Practices"": 16, ""Director_Removal"": 7}"
International Flavors & Fragrances Inc.,"{""Critical_Incident_Risk_Management"": 4, ""Customer_Welfare"": 7, ""Supply_Chain_Management"": 14, ""Business_Model_Resilience"": 13, ""Product_Design_And_Lifecycle_Management"": 22, ""Data_Security"": 2, ""GHG_Emissions"": 1, ""Management_Of_Legal_And_Regulatory_Framework"": 136, ""Systemic_Risk_Management"": 123, ""Competitive_Behavior"": 22, ""Employee_Health_And_Safety"": 6, ""Waste_And_Hazardous_Materials_Management"": 3, ""Business_Ethics"": 8, ""Labor_Practices"": 7, ""Energy_Management"": 1, ""Ecological_Impacts"": 1, ""Director_Removal"": 4}"
Akamai Technologies Inc,"{""Competitive_Behavior"": 52, ""Management_Of_Legal_And_Regulatory_Framework"": 183, ""Business_Ethics"": 16, ""Systemic_Risk_Management"": 82, ""Data_Security"": 36, ""Employee_Engagement_Inclusion_And_Diversity"": 15, ""Employee_Health_And_Safety"": 1, ""Labor_Practices"": 9, ""Business_Model_Resilience"": 14, ""Physical_Impacts_Of_Climate_Change"": 3, ""Product_Design_And_Lifecycle_Management"": 9, ""Energy_Management"": 4, ""Supply_Chain_Management"": 1, ""Customer_Privacy"": 1, ""Director_Removal"": 5}"
Albemarle Corporation,"{""Management_Of_Legal_And_Regulatory_Framework"": 242, ""Systemic_Risk_Management"": 111, ""Director_Removal"": 7, ""Product_Design_And_Lifecycle_Management"": 49, ""Business_Model_Resilience"": 26, ""Competitive_Behavior"": 48, ""Energy_Management"": 21, ""Customer_Welfare"": 10, ""Product_Quality_And_Safety"": 8, ""Supply_Chain_Management"": 21, ""Employee_Engagement_Inclusion_And_Diversity"": 10, ""Labor_Practices"": 17, ""Employee_Health_And_Safety"": 5, ""Waste_And_Hazardous_Materials_Management"": 16, ""GHG_Emissions"": 5, ""Water_And_Wastewater_Management"": 11, ""Ecological_Impacts"": 44, ""Physical_Impacts_Of_Climate_Change"": 7, ""Business_Ethics"": 23, ""Data_Security"": 8, ""Air_Quality"": 1, ""Access_And_Affordability"": 1, ""Critical_Incident_Risk_Management"": 3, ""Customer_Privacy"": 1}"
State Street Corporation,"{""Business_Model_Resilience"": 75, ""Director_Removal"": 5, ""Systemic_Risk_Management"": 212, ""Employee_Health_And_Safety"": 15, ""Access_And_Affordability"": 14, ""Competitive_Behavior"": 88, ""Product_Design_And_Lifecycle_Management"": 14, ""Supply_Chain_Management"": 12, ""Energy_Management"": 32, ""Management_Of_Legal_And_Regulatory_Framework"": 254, ""GHG_Emissions"": 16, ""Human_Rights_And_Community_Relations"": 3, ""Employee_Engagement_Inclusion_And_Diversity"": 12, ""Waste_And_Hazardous_Materials_Management"": 13, ""Ecological_Impacts"": 3, ""Business_Ethics"": 16, ""Air_Quality"": 4, ""Physical_Impacts_Of_Climate_Change"": 19, ""Labor_Practices"": 12, ""Critical_Incident_Risk_Management"": 7, ""Product_Quality_And_Safety"": 5, ""Customer_Welfare"": 1, ""Data_Security"": 16, ""Water_And_Wastewater_Management"": 1}"
Align Technology Inc,"{""Management_Of_Legal_And_Regulatory_Framework"": 623, ""Business_Ethics"": 53, ""Business_Model_Resilience"": 16, ""Product_Design_And_Lifecycle_Management"": 61, ""Systemic_Risk_Management"": 117, ""Access_And_Affordability"": 24, ""Employee_Health_And_Safety"": 14, ""Employee_Engagement_Inclusion_And_Diversity"": 17, ""Customer_Welfare"": 10, ""Selling_Practices_And_Product_Labeling"": 5, ""Competitive_Behavior"": 85, ""Energy_Management"": 3, ""Product_Quality_And_Safety"": 14, ""Supply_Chain_Management"": 11, ""Physical_Impacts_Of_Climate_Change"": 3, ""Data_Security"": 15, ""Labor_Practices"": 8, ""Human_Rights_And_Community_Relations"": 1, ""Critical_Incident_Risk_Management"": 3, ""Customer_Privacy"": 23, ""GHG_Emissions"": 1, ""Director_Removal"": 10, ""Waste_And_Hazardous_Materials_Management"": 4}"
Allegion Public Limited Company,"{""Management_Of_Legal_And_Regulatory_Framework"": 135, ""Systemic_Risk_Management"": 76, ""Business_Ethics"": 16, ""Product_Design_And_Lifecycle_Management"": 37, ""Supply_Chain_Management"": 8, ""Data_Security"": 17, ""Energy_Management"": 2, ""Employee_Health_And_Safety"": 5, ""Competitive_Behavior"": 37, ""Critical_Incident_Risk_Management"": 2, ""Selling_Practices_And_Product_Labeling"": 1, ""Employee_Engagement_Inclusion_And_Diversity"": 12, ""Labor_Practices"": 6, ""Access_And_Affordability"": 1, ""Human_Rights_And_Community_Relations"": 2, ""Waste_And_Hazardous_Materials_Management"": 3, ""Business_Model_Resilience"": 15, ""Physical_Impacts_Of_Climate_Change"": 2, ""Ecological_Impacts"": 1, ""Director_Removal"": 7}"
Alliant Energy Corporation,"{""Systemic_Risk_Management"": 59, ""Management_Of_Legal_And_Regulatory_Framework"": 162, ""Energy_Management"": 39, ""Business_Model_Resilience"": 7, ""Access_And_Affordability"": 2, ""Human_Rights_And_Community_Relations"": 2, ""Employee_Engagement_Inclusion_And_Diversity"": 1, ""Air_Quality"": 3, ""Competitive_Behavior"": 14, ""Supply_Chain_Management"": 2, ""Customer_Privacy"": 2, ""Product_Quality_And_Safety"": 1, ""GHG_Emissions"": 3, ""Employee_Health_And_Safety"": 1, ""Labor_Practices"": 3, ""Business_Ethics"": 3, ""Physical_Impacts_Of_Climate_Change"": 1, ""Ecological_Impacts"": 2, ""Director_Removal"": 2}"
At&t Inc.,"{""Product_Design_And_Lifecycle_Management"": 1, ""Competitive_Behavior"": 19, ""Systemic_Risk_Management"": 61, ""Management_Of_Legal_And_Regulatory_Framework"": 105, ""Director_Removal"": 42, ""Data_Security"": 2, ""Business_Model_Resilience"": 13, ""Physical_Impacts_Of_Climate_Change"": 1, ""Supply_Chain_Management"": 2, ""Business_Ethics"": 25, ""Human_Rights_And_Community_Relations"": 4, ""GHG_Emissions"": 2, ""Employee_Engagement_Inclusion_And_Diversity"": 5, ""Customer_Privacy"": 2, ""Labor_Practices"": 4}"
"Altria Group, Inc.","{""Customer_Welfare"": 12, ""Product_Design_And_Lifecycle_Management"": 38, ""Systemic_Risk_Management"": 80, ""Access_And_Affordability"": 2, ""Management_Of_Legal_And_Regulatory_Framework"": 231, ""Competitive_Behavior"": 65, ""Selling_Practices_And_Product_Labeling"": 39, ""Director_Removal"": 9, ""Employee_Engagement_Inclusion_And_Diversity"": 7, ""Labor_Practices"": 7, ""Employee_Health_And_Safety"": 8, ""Business_Ethics"": 32, ""Business_Model_Resilience"": 6, ""Supply_Chain_Management"": 4, ""Product_Quality_And_Safety"": 11, ""Critical_Incident_Risk_Management"": 1, ""Physical_Impacts_Of_Climate_Change"": 1, ""Human_Rights_And_Community_Relations"": 1, ""Data_Security"": 3, ""Customer_Privacy"": 2, ""Energy_Management"": 1, ""Ecological_Impacts"": 1}"
Amcor Plcs,"{""Supply_Chain_Management"": 16, ""Systemic_Risk_Management"": 97, ""Employee_Engagement_Inclusion_And_Diversity"": 6, ""Product_Design_And_Lifecycle_Management"": 34, ""GHG_Emissions"": 2, ""Waste_And_Hazardous_Materials_Management"": 1, ""Management_Of_Legal_And_Regulatory_Framework"": 171, ""Business_Model_Resilience"": 9, ""Competitive_Behavior"": 47, ""Customer_Welfare"": 2, ""Director_Removal"": 4, ""Business_Ethics"": 27, ""Data_Security"": 5, ""Employee_Health_And_Safety"": 6, ""Ecological_Impacts"": 2, ""Product_Quality_And_Safety"": 3, ""Labor_Practices"": 4, ""Physical_Impacts_Of_Climate_Change"": 2, ""Critical_Incident_Risk_Management"": 2, ""Energy_Management"": 1}"
Ameren Corporation,"{""Systemic_Risk_Management"": 178, ""Management_Of_Legal_And_Regulatory_Framework"": 153, ""Business_Model_Resilience"": 8, ""Employee_Engagement_Inclusion_And_Diversity"": 6, ""Energy_Management"": 36, ""Product_Quality_And_Safety"": 2, ""Supply_Chain_Management"": 4, ""Business_Ethics"": 26, ""GHG_Emissions"": 17, ""Competitive_Behavior"": 93, ""Waste_And_Hazardous_Materials_Management"": 3, ""Employee_Health_And_Safety"": 3, ""Access_And_Affordability"": 1, ""Director_Removal"": 7, ""Critical_Incident_Risk_Management"": 1, ""Air_Quality"": 2, ""Labor_Practices"": 1}"
"American International Group, Inc.","{""Access_And_Affordability"": 67, ""Director_Removal"": 8, ""Management_Of_Legal_And_Regulatory_Framework"": 194, ""Systemic_Risk_Management"": 64, ""Business_Ethics"": 32, ""Employee_Health_And_Safety"": 11, ""Product_Quality_And_Safety"": 6, ""Employee_Engagement_Inclusion_And_Diversity"": 2, ""Customer_Privacy"": 2, ""Data_Security"": 12, ""Waste_And_Hazardous_Materials_Management"": 3, ""Labor_Practices"": 8, ""Critical_Incident_Risk_Management"": 1, ""Business_Model_Resilience"": 5, ""Competitive_Behavior"": 15, ""Ecological_Impacts"": 1, ""Supply_Chain_Management"": 1}"
American Express Company,"{""Business_Model_Resilience"": 21, ""Competitive_Behavior"": 51, ""Product_Design_And_Lifecycle_Management"": 22, ""Employee_Engagement_Inclusion_And_Diversity"": 8, ""Employee_Health_And_Safety"": 3, ""Labor_Practices"": 6, ""Management_Of_Legal_And_Regulatory_Framework"": 271, ""Systemic_Risk_Management"": 200, ""Business_Ethics"": 37, ""Customer_Privacy"": 5, ""Director_Removal"": 7, ""Data_Security"": 23, ""Human_Rights_And_Community_Relations"": 1, ""Physical_Impacts_Of_Climate_Change"": 6, ""Critical_Incident_Risk_Management"": 1}"
American Tower Corporation,"{""Energy_Management"": 18, ""Business_Model_Resilience"": 52, ""Employee_Engagement_Inclusion_And_Diversity"": 13, ""GHG_Emissions"": 5, ""Management_Of_Legal_And_Regulatory_Framework"": 283, ""Systemic_Risk_Management"": 139, ""Director_Removal"": 11, ""Competitive_Behavior"": 37, ""Data_Security"": 15, ""Product_Quality_And_Safety"": 1, ""Waste_And_Hazardous_Materials_Management"": 2, ""Ecological_Impacts"": 1, ""Employee_Health_And_Safety"": 6, ""Human_Rights_And_Community_Relations"": 1, ""Business_Ethics"": 17, ""Critical_Incident_Risk_Management"": 2, ""Physical_Impacts_Of_Climate_Change"": 1, ""Labor_Practices"": 3}"
"American Water Works Company, Inc","{""Ecological_Impacts"": 6, ""Competitive_Behavior"": 23, ""GHG_Emissions"": 5, ""Systemic_Risk_Management"": 105, ""Business_Model_Resilience"": 6, ""Management_Of_Legal_And_Regulatory_Framework"": 300, ""Water_And_Wastewater_Management"": 136, ""Data_Security"": 8, ""Supply_Chain_Management"": 10, ""Labor_Practices"": 15, ""Waste_And_Hazardous_Materials_Management"": 4, ""Employee_Health_And_Safety"": 13, ""Selling_Practices_And_Product_Labeling"": 1, ""Human_Rights_And_Community_Relations"": 1, ""Product_Quality_And_Safety"": 2, ""Employee_Engagement_Inclusion_And_Diversity"": 16, ""Business_Ethics"": 19, ""Director_Removal"": 9, ""Physical_Impacts_Of_Climate_Change"": 2, ""Critical_Incident_Risk_Management"": 3, ""Customer_Privacy"": 3, ""Energy_Management"": 4, ""Access_And_Affordability"": 1}"
"Ameriprise Financial, Inc.","{""Management_Of_Legal_And_Regulatory_Framework"": 354, ""Systemic_Risk_Management"": 263, ""Competitive_Behavior"": 46, ""Business_Model_Resilience"": 32, ""Employee_Engagement_Inclusion_And_Diversity"": 17, ""Human_Rights_And_Community_Relations"": 4, ""Customer_Privacy"": 5, ""Business_Ethics"": 18, ""Product_Design_And_Lifecycle_Management"": 14, ""Ecological_Impacts"": 2, ""Access_And_Affordability"": 4, ""Critical_Incident_Risk_Management"": 3, ""Labor_Practices"": 9, ""Employee_Health_And_Safety"": 4, ""Physical_Impacts_Of_Climate_Change"": 3, ""Data_Security"": 9, ""Director_Removal"": 9, ""Customer_Welfare"": 1}"
"Ametek, Inc.","{""Systemic_Risk_Management"": 68, ""Business_Model_Resilience"": 12, ""Supply_Chain_Management"": 5, ""Product_Design_And_Lifecycle_Management"": 25, ""Employee_Engagement_Inclusion_And_Diversity"": 7, ""GHG_Emissions"": 1, ""Waste_And_Hazardous_Materials_Management"": 6, ""Employee_Health_And_Safety"": 3, ""Management_Of_Legal_And_Regulatory_Framework"": 102, ""Business_Ethics"": 13, ""Director_Removal"": 7, ""Competitive_Behavior"": 17, ""Energy_Management"": 6, ""Labor_Practices"": 9, ""Air_Quality"": 3, ""Human_Rights_And_Community_Relations"": 1, ""Data_Security"": 4, ""Product_Quality_And_Safety"": 1, ""Customer_Privacy"": 1, ""Customer_Welfare"": 1, ""Ecological_Impacts"": 1, ""Critical_Incident_Risk_Management"": 1}"
Amgen Inc,"{""Customer_Welfare"": 32, ""Access_And_Affordability"": 21, ""Employee_Health_And_Safety"": 9, ""Competitive_Behavior"": 127, ""Employee_Engagement_Inclusion_And_Diversity"": 11, ""Waste_And_Hazardous_Materials_Management"": 2, ""GHG_Emissions"": 1, ""Business_Model_Resilience"": 14, ""Director_Removal"": 12, ""Management_Of_Legal_And_Regulatory_Framework"": 218, ""Systemic_Risk_Management"": 60, ""Business_Ethics"": 20, ""Product_Quality_And_Safety"": 37, ""Product_Design_And_Lifecycle_Management"": 77, ""Data_Security"": 14, ""Selling_Practices_And_Product_Labeling"": 16, ""Supply_Chain_Management"": 5, ""Customer_Privacy"": 6, ""Ecological_Impacts"": 2, ""Labor_Practices"": 6, ""Human_Rights_And_Community_Relations"": 1, ""Physical_Impacts_Of_Climate_Change"": 6, ""Critical_Incident_Risk_Management"": 2, ""Energy_Management"": 2}"
